case_id,source,gender,ethnic_group,education_level,business_location,income_level,business_type,BPRAC_01_recordkeeping,BPRAC_02_pricing_strategy,BPRAC_03_inventory_mgmt,BPRAC_04_marketing_plan,BPRAC_05_supplier_relations,BPRAC_06_quality_control,BPRAC_score,FIN_01_bank_account,FIN_02_mobile_money,FIN_03_business_loan_access,FIN_04_collateral_available,FIN_05_credit_history,FIN_06_mfi_membership,FIN_07_savings_buffer,FIN_08_insurance_cover,FIN_09_formal_registration,FIN_10_tax_id,FIN_11_invoice_use,FIN_12_grant_access,FIN_13_investor_contact,FIN_14_digital_payments,FIN_score,ENVO_01_local_demand,ENVO_02_road_access,ENVO_03_electricity,ENVO_04_internet_quality,ENVO_05_logistics_delivery,ENVO_06_competitor_density,ENVO_07_govt_service_access,ENVO_08_market_distance,ENVO_09_supplier_proximity,ENVO_score,EPSY_01_risk_tolerance,EPSY_02_need_achievement,EPSY_03_innovativeness,EPSY_04_self_efficacy,EPSY_05_locus_control,EPSY_06_persistence,EPSY_07_opportunity_alertness,EPSY_08_autonomy_pref,EPSY_09_proactiveness,EPSY_10_tolerance_ambiguity,EPSY_11_goal_orientation,EPSY_12_resilience,EPSY_13_creativity,EPSY_14_leadership,EPSY_15_networking_drive,EPSY_16_learning_orientation,EPSY_17_competitiveness,EPSY_18_optimism,EPSY_19_decisiveness,EPSY_20_stress_tolerance,EPSY_21_vision,EPSY_22_adaptability,EPSY_score,BEASE_01_registration_ease,BEASE_02_license_time,BEASE_03_tax_simplicity,BEASE_04_permit_access,BEASE_05_digital_govt_services,BEASE_06_compliance_burden_low,BEASE_07_property_rights,BEASE_08_contract_enforcement,BEASE_09_customs_ease,BEASE_10_utility_connection_ease,BEASE_11_credit_info_access,BEASE_12_investor_protection,BEASE_13_trade_license_renewal,BEASE_14_one_stop_service,BEASE_15_regulatory_clarity,BEASE_score,BPRAC_fz,FIN_fz,ENVO_fz,EPSY_fz,BEASE_fz,GROWTH_monthly_revenue_usd,GROWTH_growth_rate_selfrep,GROWTH_page_analytics_idx,GROWTH_score,GROWTH_fz,GROWTH_binary,SURV_01_BEASE_1,SURV_02_BEASE_2,SURV_03_BEASE_3,SURV_04_BEASE_4,SURV_05_BEASE_5,SURV_06_FIN_1,SURV_07_FIN_2,SURV_08_FIN_3,SURV_09_FIN_4,SURV_10_FIN_5,SURV_11_FIN_6,SURV_12_BPRAC_1,SURV_13_BPRAC_2,SURV_14_BPRAC_3,SURV_15_BPRAC_4,SURV_16_BPRAC_5,SURV_17_EPSY_1,SURV_18_EPSY_2,SURV_19_EPSY_3,SURV_20_EPSY_4,SURV_21_EPSY_5,SURV_22_ENVO_1,SURV_23_ENVO_2,SURV_24_ENVO_3,SURV_25_ENVO_4,SURV_26_ENVO_5,SURV_27_DIGITAL_LEGAL_1,SURV_28_DIGITAL_LEGAL_2,SURV_29_DIGITAL_LEGAL_3,SURV_30_DIGITAL_LEGAL_4
FoBS_001,FoBS,NA (online SME),NA (online SME),NA (online SME),NA (online SME),NA (online SME),NA (online SME),3,4,2,2,2,2,0.375,5,3,4,3,3,3,4,2,4,2,2,4,4,3,0.571,3,5,1,2,3,3,2,5,3,0.5,2,2,3,2,4,2,1,3,3,4,2,3,3,2,2,1,2,2,2,1,2,3,0.33,3,4,4,2,2,1,4,3,4,4,3,3,3,4,4,0.55,0.24,0.552,0.549,0.055,0.62,1323,20.7,41.2,0.433,0.464,0,4,1,4,2,4,2,4,2,3,3,4,2,3,2,3,1,2,5,4,3,5,5,4,4,2,4,5,1,5,3
FoBS_002,FoBS,NA (online SME),NA (online SME),NA (online SME),NA (online SME),NA (online SME),NA (online SME),3,4,3,3,3,4,0.583,4,3,4,3,3,4,3,1,3,4,4,1,2,2,0.482,2,2,1,4,3,2,3,3,1,0.333,3,4,5,2,3,3,2,1,2,3,3,3,5,2,1,2,3,3,4,3,3,2,0.455,4,3,3,2,3,2,5,4,4,3,2,2,3,2,3,0.5,0.683,0.339,0.192,0.178,0.5,1783,49.5,60.7,0.609,0.793,1,4,5,3,4,5,5,2,4,3,2,4,4,1,1,5,3,2,3,4,3,2,5,3,5,3,2,2,2,5,4
FoBS_003,FoBS,NA (online SME),NA (online SME),NA (online SME),NA (online SME),NA (online SME),NA (online SME),4,3,5,5,4,4,0.792,4,4,5,5,4,4,5,5,5,5,4,5,5,5,0.911,3,4,3,4,3,5,4,2,4,0.639,4,4,4,5,3,2,3,1,4,5,5,3,5,3,3,4,5,4,3,3,3,4,0.659,3,4,3,5,3,4,4,4,2,3,4,4,5,4,3,0.667,0.936,0.972,0.826,0.651,0.837,4730,53.1,94.4,0.99,0.989,1,2,2,4,2,3,1,5,1,4,2,5,5,3,4,3,4,2,2,2,5,5,1,3,1,3,5,3,2,4,3
FoBS_004,FoBS,NA (online SME),NA (online SME),NA (online SME),NA (online SME),NA (online SME),NA (online SME),2,2,1,3,3,3,0.333,2,2,4,3,2,2,3,3,2,1,2,2,3,3,0.357,2,1,2,1,3,1,2,1,2,0.167,1,1,3,3,2,3,2,2,1,2,1,3,3,3,2,2,3,3,3,1,2,1,0.284,2,2,1,2,1,2,2,2,2,2,1,2,3,2,2,0.217,0.177,0.131,0.044,0.035,0.058,485,5.1,21.8,0.216,0.122,0,2,5,5,3,4,3,5,4,2,5,4,4,5,3,3,5,3,2,1,4,1,4,2,5,2,5,4,5,5,1
FoBS_005,FoBS,NA (online SME),NA (online SME),NA (online SME),NA (online SME),NA (online SME),NA (online SME),4,5,4,4,4,4,0.792,2,2,1,3,1,2,4,4,3,2,3,3,4,1,0.375,2,2,4,2,3,3,4,2,4,0.472,3,3,3,4,3,4,2,4,3,4,3,3,4,3,2,4,3,3,4,5,2,4,0.58,2,3,1,2,1,2,2,1,2,1,4,3,3,2,3,0.283,0.936,0.152,0.481,0.446,0.107,919,23.8,42.2,0.388,0.372,0,3,5,3,1,5,1,2,2,5,5,4,5,2,1,4,3,2,2,3,2,2,1,5,4,5,3,3,3,5,4
FoBS_006,FoBS,NA (online SME),NA (online SME),NA (online SME),NA (online SME),NA (online SME),NA (online SME),4,3,2,3,1,3,0.417,3,2,4,3,3,4,2,3,3,5,4,4,3,3,0.571,3,2,4,4,2,4,4,3,3,0.556,3,3,2,2,1,3,3,3,4,4,1,2,2,2,2,2,2,2,2,1,2,3,0.33,3,4,3,4,3,3,4,3,3,3,3,3,1,1,2,0.467,0.317,0.552,0.677,0.055,0.419,1498,24.1,54.4,0.507,0.618,1,2,1,1,5,2,3,1,2,4,3,1,1,4,3,2,4,2,3,5,2,4,5,5,2,1,2,5,4,5,4
FoBS_007,FoBS,NA (online SME),NA (online SME),NA (online SME),NA (online SME),NA (online SME),NA (online SME),4,1,3,3,4,1,0.417,4,4,3,2,4,4,3,3,3,2,5,5,2,4,0.607,3,3,3,4,2,4,4,5,4,0.639,3,2,3,2,2,3,1,4,2,2,3,3,5,3,2,3,2,3,2,2,3,2,0.398,5,4,2,4,3,4,4,4,3,3,3,4,1,4,2,0.583,0.317,0.637,0.826,0.106,0.694,2867,53.4,74.9,0.77,0.936,1,4,4,1,1,1,2,3,2,2,2,2,5,4,3,2,2,3,1,2,2,1,1,5,5,1,3,3,3,5,3
FoBS_008,FoBS,NA (online SME),NA (online SME),NA (online SME),NA (online SME),NA (online SME),NA (online SME),3,2,1,1,4,1,0.25,2,2,2,2,4,1,2,4,1,3,1,2,2,1,0.268,2,3,3,3,2,2,2,3,4,0.417,2,1,3,2,1,1,1,2,3,1,3,1,2,1,1,3,2,4,2,1,3,3,0.239,4,1,2,3,2,5,2,2,3,2,2,4,3,2,2,0.4,0.091,0.059,0.349,0.022,0.273,1076,20.4,23.4,0.363,0.325,0,3,2,1,1,4,5,3,5,1,5,5,3,3,5,2,5,3,2,1,1,2,4,1,3,2,5,1,5,2,2
FoBS_009,FoBS,NA (online SME),NA (online SME),NA (online SME),NA (online SME),NA (online SME),NA (online SME),2,1,1,1,3,2,0.167,2,2,1,3,2,3,3,2,1,4,3,1,1,2,0.286,3,1,3,3,2,2,2,3,2,0.333,2,2,1,2,2,1,1,1,1,1,2,1,2,1,2,1,1,1,1,3,2,1,0.114,2,2,2,2,1,4,2,2,2,2,3,2,2,3,1,0.283,0.044,0.07,0.192,0.006,0.107,731,2.5,21.4,0.22,0.126,0,1,4,2,2,5,3,4,4,2,5,4,3,1,1,5,3,3,4,3,2,2,2,2,4,5,4,4,1,4,2
FoBS_010,FoBS,NA (online SME),NA (online SME),NA (online SME),NA (online SME),NA (online SME),NA (online SME),1,2,3,2,2,2,0.25,3,4,4,2,4,2,3,1,2,2,1,4,2,4,0.429,2,3,3,3,2,5,3,3,4,0.528,1,2,1,3,2,2,2,1,1,1,2,4,2,2,3,2,1,2,3,4,1,2,0.25,2,3,4,4,2,3,3,3,4,2,2,3,2,4,4,0.5,0.091,0.233,0.615,0.025,0.5,1148,26.9,37.5,0.407,0.411,0,2,5,1,5,1,4,2,1,3,4,2,5,5,3,2,4,2,3,1,5,1,4,2,1,5,2,1,3,1,4
