case_id,source,gender,ethnic_group,education_level,business_location,income_level,business_type,BPRAC_01_recordkeeping,BPRAC_02_pricing_strategy,BPRAC_03_inventory_mgmt,BPRAC_04_marketing_plan,BPRAC_05_supplier_relations,BPRAC_06_quality_control,BPRAC_score,FIN_01_bank_account,FIN_02_mobile_money,FIN_03_business_loan_access,FIN_04_collateral_available,FIN_05_credit_history,FIN_06_mfi_membership,FIN_07_savings_buffer,FIN_08_insurance_cover,FIN_09_formal_registration,FIN_10_tax_id,FIN_11_invoice_use,FIN_12_grant_access,FIN_13_investor_contact,FIN_14_digital_payments,FIN_score,ENVO_01_local_demand,ENVO_02_road_access,ENVO_03_electricity,ENVO_04_internet_quality,ENVO_05_logistics_delivery,ENVO_06_competitor_density,ENVO_07_govt_service_access,ENVO_08_market_distance,ENVO_09_supplier_proximity,ENVO_score,EPSY_01_risk_tolerance,EPSY_02_need_achievement,EPSY_03_innovativeness,EPSY_04_self_efficacy,EPSY_05_locus_control,EPSY_06_persistence,EPSY_07_opportunity_alertness,EPSY_08_autonomy_pref,EPSY_09_proactiveness,EPSY_10_tolerance_ambiguity,EPSY_11_goal_orientation,EPSY_12_resilience,EPSY_13_creativity,EPSY_14_leadership,EPSY_15_networking_drive,EPSY_16_learning_orientation,EPSY_17_competitiveness,EPSY_18_optimism,EPSY_19_decisiveness,EPSY_20_stress_tolerance,EPSY_21_vision,EPSY_22_adaptability,EPSY_score,BEASE_01_registration_ease,BEASE_02_license_time,BEASE_03_tax_simplicity,BEASE_04_permit_access,BEASE_05_digital_govt_services,BEASE_06_compliance_burden_low,BEASE_07_property_rights,BEASE_08_contract_enforcement,BEASE_09_customs_ease,BEASE_10_utility_connection_ease,BEASE_11_credit_info_access,BEASE_12_investor_protection,BEASE_13_trade_license_renewal,BEASE_14_one_stop_service,BEASE_15_regulatory_clarity,BEASE_score,BPRAC_fz,FIN_fz,ENVO_fz,EPSY_fz,BEASE_fz,GROWTH_monthly_revenue_usd,GROWTH_growth_rate_selfrep,GROWTH_page_analytics_idx,GROWTH_score,GROWTH_fz,GROWTH_binary
IP_001,IP,Female,Marma,Higher Secondary,Rangamati,High,Apparel and Cosmetics,3,2,3,4,3,2,0.423,3,4,3,3,3,3,3,2,5,4,4,4,3,4,0.602,2,2,2,2,2,3,5,2,3,0.401,4,3,2,2,3,4,3,2,3,2,3,4,3,3,4,3,3,2,4,3,4,2,0.511,3,4,1,4,2,3,2,3,5,3,5,4,2,2,4,0.547,0.33,0.625,0.315,0.282,0.613,2064,35.5,73.5,0.663,0.857,1
IP_002,IP,Female,Chakma,Secondary,Rangamati,Middle,Food and Agriculture,2,2,2,1,3,2,0.195,1,2,3,3,5,2,3,4,4,3,3,3,5,3,0.548,1,2,4,2,3,1,3,4,1,0.347,2,3,3,1,2,1,2,4,1,2,1,1,2,2,4,3,1,2,1,2,2,4,0.249,4,4,2,5,3,3,3,3,3,3,3,3,4,3,3,0.555,0.057,0.495,0.213,0.024,0.632,1865,32.9,57.8,0.559,0.714,1
IP_003,IP,Female,Marma,Graduate/Postgraduate,Other (outside BD),Lower,Apparel and Cosmetics,2,3,5,3,3,5,0.636,4,3,4,3,4,3,2,3,3,3,3,3,3,4,0.534,2,4,4,2,3,3,2,4,2,0.453,4,3,3,4,3,4,2,4,5,4,2,5,2,4,2,2,4,4,3,5,4,4,0.661,3,4,4,4,5,3,3,3,3,5,2,3,3,3,4,0.665,0.778,0.461,0.434,0.655,0.835,1736,31.9,55.5,0.592,0.768,1
IP_004,IP,Female,Chakma,Graduate/Postgraduate,Dhaka,Middle,Apparel and Cosmetics,3,1,3,1,3,1,0.241,3,2,2,2,3,1,2,4,3,3,4,2,2,2,0.386,1,4,3,3,2,3,3,4,1,0.419,1,5,2,2,1,2,2,3,4,3,2,3,1,2,1,1,2,2,3,2,2,1,0.302,4,3,4,3,3,2,2,5,3,2,3,3,3,1,1,0.428,0.084,0.167,0.355,0.042,0.33,833,15.2,10.0,0.269,0.179,0
IP_005,IP,Female,Chakma,Secondary,Rangamati,Lower,Food and Agriculture,2,1,3,1,2,2,0.193,3,1,4,3,3,2,2,3,2,3,3,1,2,4,0.385,2,3,3,2,1,3,2,2,3,0.355,3,4,2,2,4,3,3,1,2,2,4,3,2,1,1,2,3,2,3,2,3,3,0.416,1,2,3,2,1,2,1,2,2,2,2,1,1,2,1,0.167,0.056,0.165,0.227,0.126,0.037,798,18.6,20.0,0.192,0.102,0
IP_006,IP,Female,Chakma,Primary,Rangamati,Middle,Apparel and Cosmetics,4,2,1,2,4,3,0.406,2,2,2,1,3,2,3,3,3,3,5,1,2,2,0.361,2,4,3,3,4,4,1,3,2,0.472,4,3,4,3,2,3,3,5,3,3,4,3,2,2,3,2,3,3,3,4,2,3,0.538,1,3,3,4,3,2,2,3,2,3,3,3,4,1,1,0.401,0.296,0.135,0.48,0.343,0.275,984,18.7,41.7,0.277,0.189,0
IP_007,IP,Male,Tripura,Primary,Rangamati,High,Food and Agriculture,3,2,4,2,4,2,0.451,4,4,4,4,2,3,4,2,3,3,3,3,5,3,0.581,3,2,4,1,2,3,4,5,3,0.503,3,2,2,3,5,3,2,5,4,5,3,3,3,3,3,1,3,4,3,2,2,3,0.523,5,2,5,3,5,4,3,3,4,4,3,3,3,5,3,0.701,0.389,0.575,0.556,0.308,0.878,2882,51.6,81.9,0.791,0.946,1
IP_008,IP,Female,Chakma,Higher Secondary,Dhaka,High,Apparel and Cosmetics,3,1,3,2,2,3,0.33,4,4,4,4,5,4,3,2,4,3,3,4,4,3,0.66,4,2,2,3,4,5,1,2,3,0.487,1,3,3,3,2,2,1,2,2,4,3,1,4,2,2,3,2,3,3,1,3,2,0.332,4,3,3,4,5,3,5,5,4,4,4,4,3,5,4,0.74,0.173,0.746,0.517,0.056,0.913,1445,33.6,44.1,0.453,0.506,1
IP_009,IP,Female,Chakma,Graduate/Postgraduate,Rangamati,High,E-commerce,1,2,1,3,3,4,0.311,3,3,3,3,3,5,5,2,4,1,3,3,3,4,0.574,3,3,2,3,3,1,3,4,3,0.449,3,3,2,1,2,4,2,3,3,4,5,3,3,2,2,3,1,3,3,4,1,1,0.392,3,3,3,3,4,3,4,4,1,4,3,3,2,2,3,0.476,0.149,0.559,0.425,0.101,0.441,1769,32.8,56.1,0.556,0.709,1
IP_010,IP,Male,Chakma,Graduate/Postgraduate,Khagrachhari,Middle,Apparel and Cosmetics,2,2,2,2,3,1,0.223,5,3,4,3,3,4,2,3,4,2,4,2,4,3,0.597,1,2,1,1,1,1,1,2,1,0.077,2,2,1,1,2,2,1,1,2,1,1,2,1,2,1,1,1,2,2,1,2,3,0.124,5,4,4,4,4,4,4,4,4,4,3,2,4,2,4,0.687,0.073,0.613,0.019,0.007,0.862,2248,45.0,56.0,0.652,0.845,1
